Node,Latitude,Longitude
Junction_1058,337285.427349,4695697.893452
Junction_1059,337286.833695,4695675.282588
Junction_106,338885.850281,4696377.542262
Junction_1060,337270.021168,4695651.251162
Junction_1061,337292.925675,4695656.61484
Junction_1062,337284.755113,4695673.739332
Junction_1063,337231.881379,4696050.80625
Junction_1064,337232.075356,4696049.319861
Junction_1065,337042.506235,4696079.060419
Junction_1066,337031.070601,4695925.45554
Junction_1067,336998.442213,4696108.908153
Junction_1068,337025.334237,4696125.365665
Junction_1069,337013.233174,4695941.474539
Junction_107,338882.468122,4695914.195111
Junction_1070,337012.43504,4695939.27997
Junction_1071,336995.140348,4695968.452314
Junction_1072,336994.369296,4695964.362577
Junction_1073,336997.979621,4695960.065598
Junction_1074,336997.976918,4695960.063896
Junction_1075,336994.037607,4696066.766831
Junction_1076,336991.208346,4696064.273513
Junction_1077,336990.68218,4696071.040883
Junction_1078,336988.702113,4696069.07298
Junction_1079,336982.854319,4696085.612788
Junction_108,338962.374895,4696027.826455
Junction_1080,336985.635323,4696085.243306
Junction_1081,336994.286849,4696125.160925
Junction_1082,336994.196443,4696124.235392
Junction_1083,336957.346414,4696130.800075
Junction_1084,336963.346587,4696123.692456
Junction_1085,336965.834949,4696118.751824
Junction_1086,336966.973382,4696126.071791
Junction_1087,336978.640136,4696096.535272
Junction_1088,336977.546907,4696094.932946
Junction_1089,336952.734116,4696113.666071
Junction_109,338882.272894,4695914.761574
Junction_1090,336952.269422,4696112.052483
Junction_1091,336950.691425,4696112.625754
Junction_1092,336950.449642,4696111.258103
Junction_1093,336941.238862,4696112.712205
Junction_1094,336939.607252,4696111.295847
Junction_1095,336939.036034,4696115.547574
Junction_1096,336942.019676,4696117.027456
Junction_1097,336946.601739,4696113.906403
Junction_1098,336946.229102,4696116.289242
Junction_1099,336945.508809,4696113.658513
Junction_11,339079.226508,4695931.095641
Junction_110,338881.446076,4695916.978869
Junction_1100,336945.75735,4696112.917545
Junction_1101,336932.88103,4696122.421869
Junction_1102,336931.321905,4696121.171005
Junction_1103,336879.371753,4696157.792116
Junction_1104,336883.611715,4696160.031838
Junction_1105,336774.70375,4696124.001718
Junction_1106,336780.726048,4696120.682383
Junction_1107,336743.127793,4696123.856198
Junction_1108,336741.096516,4696121.947864
Junction_1109,336771.373952,4696106.454281
Junction_111,338881.938452,4695913.893308
Junction_1110,336778.551653,4696102.437229
Junction_1111,336772.045789,4696107.081064
Junction_1112,336778.791284,4696103.063713
Junction_1113,336784.98253,4696114.899115
Junction_1114,336786.15325,4696114.371848
Junction_1115,336785.613318,4696115.896782
Junction_1116,336786.019243,4696115.544019
Junction_1117,336786.362945,4696117.628009
Junction_1118,336786.594066,4696117.448098
Junction_1119,336771.455948,4696114.646519
Junction_112,338881.153634,4695913.503702
Junction_1120,336781.147692,4696107.723867
Junction_1121,336864.920489,4696195.1585
Junction_1122,336911.291512,4696195.493242
Junction_1123,336905.484065,4696197.218661
Junction_1124,336908.332348,4696196.372421
Junction_1125,336871.962881,4696198.048082
