Node,Latitude,Longitude
Junction_1159,42.37770888785817,13.014977038714884
Junction_116,42.398974999863505,13.042341833517021
Junction_1160,42.37654468000328,13.014216213111164
Junction_1161,42.376533234969514,13.014206614674206
Junction_1162,42.37668945578247,12.999658817685201
Junction_1163,42.37670283602499,12.999657209073973
Junction_1164,42.37748467152536,13.00366396924962
Junction_1165,42.37748465773481,13.003663979415624
Junction_1166,42.376915946600235,13.002425463049848
Junction_1167,42.37699782602334,13.0023947379339
Junction_1168,42.376724063080864,13.00165917441933
Junction_1169,42.37683134007292,13.001648941404675
Junction_117,42.39899408526632,13.042793868027363
Junction_1170,42.376723065752955,13.001586156215257
Junction_1171,42.376830627404296,13.00158206226171
Junction_1172,42.37672042469227,13.001392746666438
Junction_1173,42.376754019224656,13.00138897472055
Junction_1174,42.37671740398796,13.00131546425923
Junction_1175,42.376691315179926,13.001310462297406
Junction_1176,42.37671391892349,13.001070873195726
Junction_1177,42.37679681881526,13.001085028929356
Junction_1178,42.37689560970233,13.002138749928022
Junction_1179,42.376897179897206,13.00211413347459
Junction_118,42.399058999957866,13.042739999833096
Junction_1180,42.37682387416352,13.002179962254937
Junction_1181,42.37683627962488,13.002172835167944
Junction_1182,42.377141674584344,13.002035634316611
Junction_1183,42.377141892661115,13.002042428628378
Junction_1184,42.37719084896551,13.001728304356169
Junction_1185,42.37723302141485,13.001707828306579
Junction_1186,42.37737320466971,13.001570560476218
Junction_1187,42.3773687331906,13.00156694478007
Junction_1188,42.376844250902636,13.002243184529487
Junction_1189,42.37695742105802,13.00216655078065
Junction_119,42.39911001403882,13.04312535539711
Junction_1190,42.37671323657613,13.000684907822661
Junction_1191,42.37670063656287,13.000685218282747
Junction_1192,42.37671265609187,13.000395438723938
Junction_1193,42.376847103140044,13.00039192980704
Junction_1194,42.376717183117016,13.000117397361404
Junction_1195,42.376712227552716,13.000118025877276
Junction_1196,42.37663244364819,12.999312335359766
Junction_1197,42.37660731305763,12.999315771528279
Junction_1198,42.376547508817175,12.998796172651494
Junction_1199,42.376457938359174,12.99878946835511
Junction_12,42.38478090408166,13.007758312679034
Junction_120,42.39903969792608,13.043170265918867
Junction_1200,42.37764388581314,13.004135892276866
Junction_1201,42.37500397978048,13.003693125013177
Junction_1202,42.375011049243035,13.003662193765
Junction_1203,42.37521888815408,13.003716063198812
Junction_1204,42.37521565573455,13.003741987749187
Junction_1205,42.37536711637778,13.003762756396139
Junction_1206,42.37536542686602,13.003791620421778
Junction_1207,42.375437260520656,13.003779687725867
Junction_1208,42.375436206723194,13.003779155075142
Junction_1209,42.37545481328058,13.003630937292682
Junction_121,42.399413195013736,13.043401098503077
Junction_1210,42.375463650039755,13.003632286728486
Junction_1211,42.3754269545756,13.003812010054329
Junction_1212,42.37205373733304,13.001884393974088
Junction_1213,42.372060485675945,13.00187041812346
Junction_1214,42.37207863101566,13.001897357970444
Junction_1215,42.37207576850125,13.00190297513549
Junction_1216,42.37255999984583,13.00220323826409
Junction_1217,42.37254993150893,13.00222314926359
Junction_1218,42.37268159373801,13.00230703393244
Junction_1219,42.37269818269096,13.002254518674448
Junction_122,42.39941613770809,13.043418066676074
Junction_1220,42.373471920847116,13.002802311375268
Junction_1221,42.373477934676636,13.00278984690689
Junction_1222,42.3741125630254,13.003264635297008
Junction_1223,42.374141156383345,13.003193278438085
Junction_1224,42.37436232793093,13.003401484819138
Junction_1225,42.37435473135784,13.003455953624332
Junction_1226,42.374418316055845,13.003429343942088
